no.,menu_makanan,bahan_makanan,air (ml),energi (kal),protein,lemak_total,karbohidrat,serat,kalsium,fosfor,zat_besi,natrium,kalium,tembaga,seng,vit_c,price (100 gr),rasa,meal_time,kategori_gizi
121,Ayam goreng sukabumi,ayam,49.8,244,36700,9200,1000.0,0,81,154.0,6.1,180,250.0,0.1,1.0,0.0,13000,gurih,"dinner, lunch",mineral tinggi
122,Ayam taliwang,ayam,57.5,264,18200,20100,2700.0,0,94,164.0,2.0,507,408.0,0.4,12.3,0.0,14000,gurih,"dinner, lunch",mineral tinggi
123,Babi hutan masak rica,babi hutan,56.2,491,24600,16300,200.0,0,18,144.0,1.2,1415,327.0,0.2,2.6,0.0,15000,gurih,"breakfast, dinner, lunch",mineral tinggi
124,Beef burger,daging sapi,45.5,258,10600,9500,32500.0,400,210,157.0,2.6,572,189.1,0.15,1.0,0.0,15000,gurih,"dinner, lunch",mineral tinggi
125,Beef teriyaki,daging sapi,65.1,151,8600,3100,22300.0,300,142,62.0,2.3,377,100.0,0.1,0.8,0.0,15000,gurih,"dinner, lunch",mineral tinggi
126,Beef yakiniku,daging sapi,67.7,132,9800,1100,20700.0,300,302,67.0,2.0,409,100.0,0.1,0.8,0.0,15000,gurih,"dinner, lunch",mineral tinggi
127,Brongkos,"daging sapi, kacang tolo",76.4,141,15300,3300,12600.0,1000,87,97.0,5.1,200,150.0,0.15,1.0,0.0,11000,gurih,"breakfast, dinner, lunch",mineral tinggi
128,Chicken teriyaki,daging ayam,68.2,168,13000,9600,7500.0,800,137,106.0,3.1,959,100.0,0.1,0.8,0.0,13000,gurih,"dinner, lunch",mineral tinggi
129,Chikiniku,daging sapi,65.4,143,9800,1400,22800.0,400,301,63.0,2.0,531,90.0,0.1,0.8,0.0,13000,gurih,"breakfast, dinner, lunch",mineral tinggi
130,Coto mangkasara kuda,daging kuda,83.5,96,6800,5900,3800.0,500,11,106.0,2.3,96,31.0,0.1,1.0,0.0,20000,gurih,"dinner, lunch",gizi sedang/rendah
131,Coto mangkasara sapi,daging sapi,85.9,84,6000,6000,1400.0,500,8,104.0,4.0,90,25.0,0.3,0.6,0.0,12000,gurih,"dinner, lunch",gizi sedang/rendah
132,Djibokum,"daging sapi, tepung",43.4,248,10000,2300,40900.0,100,116,110.0,2.8,401,80.0,0.1,0.5,0.0,12000,gurih,"breakfast, dinner, lunch",mineral tinggi
133,Empal goreng,daging sapi,43.9,248,36200,6900,10100.0,500,131,235.0,6.4,848,100.0,0.1,1.0,0.0,14000,gurih,"breakfast, dinner, lunch",mineral tinggi
134,Gulai kambing,daging kambing,78.4,126,4200,9400,6200.0,500,45,73.0,1.3,302,138.0,0.2,1.1,0.0,15000,gurih,"breakfast, dinner, lunch",mineral tinggi
135,Jangang bintatoeng,daging ayam,73.6,107,5300,2200,16500.0,500,64,61.0,2.5,482,406.0,0.2,0.8,0.0,13000,gurih,"breakfast, dinner, lunch",mineral tinggi
136,Kalio ayam,daging ayam,64.7,203,16000,13500,4400.0,500,278,177.0,4.2,534,100.0,0.1,1.0,0.0,14000,gurih,"dinner, lunch",mineral tinggi
