no.,menu_makanan,bahan_makanan,air (ml),energi (kal),protein,lemak_total,karbohidrat,serat,kalsium,fosfor,zat_besi,natrium,kalium,tembaga,seng,vit_c,price (100 gr),rasa,meal_time,kategori_gizi
426,Salak pondoh,salak pondoh,77.9,87,800,400,20100.0,0,38,31.0,3.9,10,100.0,0.1,0.2,8.0,9000,manis,"breakfast, dinner, lunch",vitamin C tinggi
427,Salak,salak,78.0,77,400,200,20900.0,1000,28,18.0,4.2,10,100.0,0.1,0.2,2.0,9000,manis,"breakfast, dinner, lunch",vitamin C tinggi
428,Sawo duren,sawo duren,87.3,64,1000,3100,8000.0,800,18,45.0,0.8,13,111.4,0.1,0.1,1.0,9000,manis,"breakfast, dinner, lunch",vitamin C tinggi
429,Sawo kecil,sawo kecil,73.8,111,900,2300,21600.0,1000,20,185.0,0.7,28,117.8,0.1,0.1,19.0,9000,manis,"breakfast, dinner, lunch",vitamin C tinggi
430,Sawo Manila,sawo manila,75.5,92,500,1100,22400.0,9500,25,12.0,1.0,26,110.2,0.1,0.1,21.0,9000,manis,"breakfast, dinner, lunch",vitamin C tinggi
431,Semangka,semangka,92.1,28,500,200,6900.0,400,7,12.0,0.2,7,93.8,0.0,0.1,6.0,7000,segar,"breakfast, dinner, lunch",vitamin C tinggi
432,Sirsak,sirsak,81.7,65,1000,300,16300.0,3200,14,27.0,0.6,2,298.9,0.1,1.0,20.0,9000,asam,"breakfast, dinner, lunch",vitamin C tinggi
433,Sowa,sowa,87.7,48,1600,600,9100.0,4500,50,40.0,0.3,9,0.0,0.1,1.5,4.0,8000,manis,"breakfast, dinner, lunch",vitamin C tinggi
434,Srikaya,srikaya,83.4,63,1100,500,13900.0,2100,127,30.0,2.7,10,100.0,0.1,0.2,28.0,9000,manis,"breakfast, dinner, lunch",vitamin C tinggi
435,Sukun muda,sukun muda,69.4,119,1400,200,28100.0,1400,24,44.0,1.4,24,414.4,0.1,0.1,52.0,8000,tawar,"breakfast, dinner, lunch",vitamin C tinggi
436,Sukun tua,sukun tua,67.8,126,1600,200,24500.0,1500,37,47.0,1.6,25,436.0,0.1,0.1,58.0,8000,tawar,"breakfast, dinner, lunch",vitamin C tinggi
437,Vigus,vigus (umbi liar),88.0,44,2400,100,8300.0,1000,30,20.0,0.3,2,180.0,0.1,0.2,43.0,8000,tawar,"breakfast, dinner, lunch",vitamin C tinggi
438,Wani,wani,81.2,74,800,300,17100.0,3100,66,29.0,1.2,10,100.0,0.1,0.2,80.0,9000,manis,"breakfast, dinner, lunch",vitamin C tinggi
439,Barongko,"barongko (pisang, telur, santan)",66.7,159,3100,5800,23500.0,1000,35,65.0,1.2,46,78.0,0.3,0.6,10.0,9000,manis,"breakfast, dinner, lunch",vitamin C tinggi
440,Dodol nanas,dodol nanas,16.1,338,1500,1200,80300.0,1000,10,20.0,0.5,10,50.0,0.1,0.2,8.0,9000,manis,"breakfast, dinner, lunch",vitamin C tinggi
441,Getuk pisang,getuk pisang,63.7,144,1100,400,34100.0,400,48,32.0,1.0,10,50.0,0.1,0.2,0.0,8000,manis,"breakfast, dinner, lunch",gizi sedang/rendah
442,Keripik lampung,"singkong, minyak",5.0,485,1700,22000,69700.0,600,43,65.0,0.8,10,50.0,0.1,0.2,0.0,9000,gurih,"breakfast, dinner, lunch",makronutrien tinggi
443,Ledre pisang,"pisang, tepung, gula",3.6,405,4800,5100,84900.0,400,59,124.0,2.6,10,50.0,0.1,0.2,0.0,9000,manis,"breakfast, dinner, lunch",makronutrien tinggi
444,Lempog durian,"durian, gula",25.2,320,3500,5700,63700.0,4900,190,93.0,2.5,20,80.0,0.2,0.4,10.0,10000,manis,"breakfast, dinner, lunch",vitamin C tinggi
445,Loka anjoro,loka anjoro (umbi),63.3,163,1100,4300,30000.0,1000,20,30.0,0.5,10,50.0,0.1,0.2,0.0,8000,tawar,"breakfast, dinner, lunch",gizi sedang/rendah
446,Rica-rica taipa,"taipa (daging rusa), rica",86.7,49,1600,300,10000.0,1000,11,48.0,3.0,426,42.0,0.5,0.5,15.0,15000,pedas,"breakfast, dinner, lunch",vitamin C tinggi
447,Rujak aceh,"buah campur, bumbu rujak",78.7,82,400,300,19700.0,2400,10,20.0,0.5,10,50.0,0.1,0.2,42.0,9000,asam,"breakfast, dinner, lunch",vitamin C tinggi
448,Sale kesemek,"kesemek, gula",25.0,296,1100,600,71400.0,1000,10,20.0,0.5,10,50.0,0.1,0.2,3.0,9000,manis,"breakfast, dinner, lunch",vitamin C tinggi
449,Sale pisang siam,"pisang siam, gula",28.9,281,2400,700,66100.0,1000,41,64.0,1.2,10,50.0,0.1,0.2,0.0,9000,manis,"breakfast, dinner, lunch",makronutrien tinggi
450,"Sale pisang, cilacap","pisang, gula",27.1,295,2300,2100,66900.0,1300,47,97.0,2.8,10,50.0,0.1,0.2,0.0,9000,manis,"breakfast, dinner, lunch",makronutrien tinggi
451,Sanggara belanda,"pisang, telur, santan",47.1,242,6400,7100,38200.0,1000,20,40.0,0.5,10,50.0,0.1,0.2,0.0,9000,manis,"breakfast, dinner, lunch",makronutrien tinggi
452,Tepung Pisang,pisang,13.8,338,2900,400,80600.0,5300,23,62.0,4.0,18,734.0,0.1,0.5,2.0,9000,tawar,"breakfast, dinner, lunch",vitamin C tinggi
453,Tepung Sukun,sukun,10.1,353,2900,500,84400.0,3700,100,85.0,4.6,9,2008.0,0.1,0.6,3.0,9000,tawar,"breakfast, dinner, lunch",vitamin C tinggi
454,Dendeng bekicot,"bekicot, bumbu",6.7,441,48700,20300,15800.0,0,692,523.0,16.6,50,100.0,0.5,1.5,69.0,18000,gurih,"breakfast, dinner, lunch",vitamin C tinggi
455,Belut goreng,"belut, minyak",11.2,417,25900,19400,32000.0,0,840,872.0,4.9,71,217.7,0.3,1.8,0.0,18000,gurih,"breakfast, dinner, lunch",mineral tinggi
456,Cumi-cumi goreng,cumi-cumi,54.2,265,40600,10100,0.0,0,62,270.0,2.7,86,81.9,0.1,0.6,0.0,18000,gurih,"dinner, lunch",mineral tinggi
457,Ikan asin,ikan asin,40.0,193,42000,1500,0.0,0,200,300.0,0.0,2500,100.0,0.1,0.6,0.0,20000,asin,"breakfast, dinner, lunch",mineral tinggi
458,Ikan bandeng presto,"bandeng, bumbu",45.3,296,17100,20300,11300.0,500,1422,659.0,1.9,150,100.0,0.1,0.7,69.0,18000,gurih,"breakfast, dinner, lunch",vitamin C tinggi
459,Ikan baung bakar,ikan baung,69.8,144,17800,5800,5200.0,500,18,169.0,0.0,168,236.0,0.1,0.7,5.0,16000,gurih,"breakfast, dinner, lunch",vitamin C tinggi
460,Ikan Belida bakar,ikan belida,68.2,128,18000,3000,7200.0,0,58,134.0,0.0,293,198.0,0.1,0.4,5.0,16000,gurih,"breakfast, dinner, lunch",vitamin C tinggi
461,Ikan cakalang asap,cakalang asap,56.9,204,34200,5600,1900.0,500,14,399.0,1.3,176,588.0,0.3,0.7,5.0,18000,gurih,"breakfast, dinner, lunch",vitamin C tinggi
462,Ikan cakalang asin,cakalang asin,41.7,198,36500,2200,5500.0,0,236,346.0,3.7,4304,302.1,0.2,0.6,0.0,20000,asin,"breakfast, dinner, lunch",mineral tinggi
463,Ikan calo/ peda,ikan peda,71.3,81,11400,1900,3800.0,0,743,174.0,22.6,1500,100.0,0.1,0.6,0.0,18000,asin,"breakfast, dinner, lunch",mineral tinggi
464,Ikan Gabus asap,gabus asap,26.4,261,38100,2300,21900.0,0,2510,1840.0,2.9,320,410.0,0.4,0.8,5.0,20000,gurih,"breakfast, dinner, lunch",vitamin C tinggi
465,Ikan Gabus kering,gabus kering,24.0,268,58000,4000,0.0,0,15,100.0,0.1,500,100.0,0.1,0.6,0.0,20000,asin,"breakfast, dinner, lunch",mineral tinggi
466,Ikan gete goreng,ikan gete,44.7,267,23100,19400,200.0,0,2340,1240.0,0.8,590,440.0,0.1,1.9,5.0,18000,gurih,"breakfast, dinner, lunch",vitamin C tinggi
467,Ikan hiu kering,hiu kering,23.1,298,46300,3600,20200.0,0,335,846.0,2.5,957,1457.0,0.5,2.0,5.0,20000,asin,"breakfast, dinner, lunch",vitamin C tinggi
468,Ikan katombo asin,katombo asin,44.7,162,31700,2800,300.0,0,279,609.0,4.6,4393,342.2,2.8,0.6,0.0,20000,asin,"breakfast, dinner, lunch",mineral tinggi
469,Ikan kayu kering,ikan kayu kering,23.1,302,70700,1900,400.0,0,313,22.0,4.1,345,1045.0,0.2,1.8,0.0,20000,asin,"breakfast, dinner, lunch",mineral tinggi
470,Ikan Lais bakar,ikan lais,69.4,147,17500,6500,5400.0,0,54,194.0,0.1,142,209.0,0.1,0.5,5.0,16000,gurih,"breakfast, dinner, lunch",vitamin C tinggi
471,Ikan lomak asin,lomak asin,21.6,258,40300,2300,18900.0,0,140,279.0,2.3,6227,485.1,2.3,0.6,0.0,20000,asin,"breakfast, dinner, lunch",mineral tinggi
472,Ikan Mas pepes,"ikan mas, bumbu",57.5,209,15200,11300,11800.0,500,686,530.0,6.1,74,276.7,0.1,1.9,0.0,16000,gurih,"breakfast, dinner, lunch",mineral tinggi
473,Ikan mujahir goreng,ikan mujair,44.7,416,46900,23900,0.0,0,346,654.0,0.9,54,278.9,0.1,0.2,0.0,18000,gurih,"breakfast, dinner, lunch",mineral tinggi
474,Ikan Mujahir pepes,"ikan mujair, bumbu",73.7,121,21700,2800,800.0,0,83,248.0,1.6,58,265.8,0.1,0.3,0.0,16000,gurih,"breakfast, dinner, lunch",mineral tinggi
475,Dendeng ikan mujahir,"mujair, bumbu",15.2,582,68300,15200,37200.0,0,3258,1699.0,4.3,500,100.0,0.2,1.2,0.0,22000,gurih,"breakfast, dinner, lunch",mineral tinggi
476,Ikan Papuyu bakar,ikan papuyu,66.6,152,17600,6100,6700.0,0,244,227.0,3.4,320,224.0,0.2,1.0,5.0,16000,gurih,"breakfast, dinner, lunch",vitamin C tinggi
477,Ikan Patin bakar,ikan patin,70.3,144,17500,6300,4300.0,0,191,232.0,1.4,379,230.0,0.1,0.7,5.0,16000,gurih,"breakfast, dinner, lunch",vitamin C tinggi
478,Ikan peda banjar,ikan peda banjar,46.0,156,28000,4000,2000.0,0,174,316.0,3.1,59,368.8,0.1,0.5,0.0,18000,asin,"breakfast, dinner, lunch",mineral tinggi
479,Ikan saluang kering,saluang kering,33.6,284,34100,9900,14600.0,0,1426,1103.0,9.5,1767,263.0,1.3,18.7,0.0,20000,asin,"breakfast, dinner, lunch",mineral tinggi
480,Ikan sanggang,ikan sanggang,42.6,240,21700,7700,20700.0,0,159,362.0,9.8,2041,159.0,1.5,8.8,0.0,18000,gurih,"breakfast, dinner, lunch",mineral tinggi
481,Ikan selar kuning cue,selar kuning,59.0,138,27000,3300,0.0,0,50,100.0,2.0,50,100.0,0.1,0.5,0.0,15000,gurih,"breakfast, dinner, lunch",gizi sedang/rendah
482,Ikan selar kering,selar kering,43.0,194,38000,3500,0.0,0,20,200.0,1.0,500,100.0,0.1,0.5,0.0,18000,asin,"breakfast, dinner, lunch",mineral tinggi
483,Ikan sepat kering,sepat kering,30.0,289,38000,14000,0.0,0,40,100.0,0.7,500,100.0,0.1,0.5,0.0,18000,asin,"breakfast, dinner, lunch",mineral tinggi
484,Ikan sunu asin,sunu asin,34.7,199,34100,3800,7100.0,0,94,92.0,2.2,377,57.0,0.1,3.2,0.0,20000,asin,"breakfast, dinner, lunch",mineral tinggi
485,Ikan Teri nasi kering,teri nasi kering,34.5,144,32500,600,0.0,0,1000,1000.0,3.0,312,100.0,0.1,0.5,0.0,20000,asin,"dinner, lunch",mineral tinggi
486,Ikan Teri bubuk,teri bubuk,15.0,277,60000,2300,1800.0,0,1209,1225.0,3.0,500,100.0,0.1,0.5,0.0,22000,asin,"breakfast, dinner, lunch",mineral tinggi
487,Ikan teri kering,teri kering,37.8,170,33400,3000,0.0,0,1200,1500.0,3.6,500,100.0,0.1,0.5,0.0,20000,asin,"breakfast, dinner, lunch",mineral tinggi
488,Ikan Teri kering tawar,teri kering tawar,16.7,331,68700,4200,0.0,0,2381,1500.0,23.4,500,100.0,0.1,0.5,0.0,20000,asin,"breakfast, dinner, lunch",mineral tinggi
489,Kerang asap,kerang asap,9.3,393,38900,13300,29400.0,0,420,410.0,8.5,160,50.0,0.6,3.7,0.0,22000,gurih,"breakfast, dinner, lunch",mineral tinggi
490,Dendeng kerang,"kerang, bumbu",18.3,357,41100,10000,25600.0,0,217,904.0,5.2,500,100.0,0.2,1.2,0.0,22000,gurih,"breakfast, dinner, lunch",mineral tinggi
491,Rebon Kering,rebon kering,21.6,299,59400,3600,3200.0,0,2306,625.0,21.4,500,100.0,0.1,0.5,0.0,22000,asin,"breakfast, dinner, lunch",mineral tinggi
492,Rebung laut,rebung laut,18.2,320,7200,4200,63300.0,0,240,570.0,6.6,20,1040.0,1.5,6.2,0.0,18000,gurih,"breakfast, dinner, lunch",mineral tinggi
493,Sardines dalam kaleng,"sarden, minyak",47.1,338,21100,27000,1000.0,0,354,434.0,3.5,400,100.0,0.1,0.5,0.0,18000,gurih,"breakfast, dinner, lunch",mineral tinggi
494,Dendeng teripang,"teripang, bumbu",12.5,462,39100,32400,3500.0,0,499,616.0,96.4,315,402.5,0.2,1.2,0.0,25000,gurih,"breakfast, dinner, lunch",mineral tinggi
495,Abon haruwan,"haruwan, bumbu",11.6,513,23700,37000,21300.0,0,25,25.0,0.5,61,15.0,0.1,0.2,0.0,22000,gurih,"breakfast, dinner, lunch",makronutrien tinggi
496,Abon ikan,"ikan, bumbu",6.4,435,27200,20200,36100.0,0,300,250.0,3.0,400,100.0,0.2,1.0,0.0,22000,gurih,"breakfast, dinner, lunch",mineral tinggi
497,Betok wadi,"ikan betok, bumbu",69.2,145,16300,7000,4100.0,500,405,523.0,1.8,69,203.0,1.0,1.3,5.0,16000,gurih,"breakfast, dinner, lunch",vitamin C tinggi
498,Bou ninahu ndamate,"ikan, bumbu",79.5,79,6300,1000,1100.0,500,67,50.0,0.8,30,100.0,0.1,0.5,0.0,15000,gurih,"breakfast, dinner, lunch",gizi sedang/rendah
499,Bouiki ninahu,"ikan, bumbu",73.9,94,7800,2200,10800.0,500,58,179.4,1.0,40,100.0,0.1,1.5,0.0,15000,gurih,"breakfast, dinner, lunch",mineral tinggi
500,Nggaluku,"ikan, bumbu",70.0,120,10000,4000,5000.0,500,100,100.0,1.0,50,100.0,0.1,0.5,0.0,15000,gurih,"breakfast, dinner, lunch",gizi sedang/rendah
501,Cakalang asar (asap),cakalang asap,64.3,155,20100,3800,10200.0,500,20,240.0,2.1,90,390.0,0.3,0.1,0.0,18000,gurih,"breakfast, dinner, lunch",mineral tinggi
502,Dendeng belut goreng,"belut, bumbu",8.2,382,55700,14100,8000.0,0,1069,654.0,15.4,400,100.0,0.2,1.0,0.0,22000,gurih,"breakfast, dinner, lunch",mineral tinggi
503,Dendeng mujahir goreng,"mujair, bumbu",6.5,598,74300,26900,9200.0,0,1957,1447.0,7.4,400,100.0,0.2,1.0,0.0,22000,gurih,"breakfast, dinner, lunch",mineral tinggi
504,Fillet o-fish,"ikan fillet, tepung",51.0,270,12300,15900,19300.0,200,239,272.0,1.8,439,100.0,0.1,0.5,0.0,18000,gurih,"breakfast, dinner, lunch",mineral tinggi
505,Gete kuah asam,"ikan gete, asam",80.1,75,8200,2000,6000.0,500,1620,880.0,0.8,260,150.0,0.1,1.5,0.0,15000,asam,"breakfast, dinner, lunch",mineral tinggi
506,Gulai asam keueung,"ikan, asam, bumbu",86.0,52,10000,500,1800.0,500,62,102.0,0.3,332,141.0,0.1,1.0,0.0,16000,asam,"breakfast, dinner, lunch",mineral tinggi
507,Gulai ikan,"ikan, santan",75.7,106,16500,3300,2500.0,500,306,196.0,4.8,743,100.0,0.1,0.5,0.0,16000,gurih,"breakfast, dinner, lunch",mineral tinggi
508,Gulai ikan paya,"ikan paya, bumbu",72.1,148,10000,9800,5000.0,500,103,82.0,0.7,525,256.0,0.1,0.9,0.0,16000,gurih,"breakfast, dinner, lunch",mineral tinggi
509,Gulai keumamah,"keumamah (ikan kering), bumbu",81.4,110,5900,8200,3200.0,500,32,96.0,1.0,335,121.0,0.2,0.9,0.0,18000,gurih,"breakfast, dinner, lunch",mineral tinggi
510,Gulai tiram,"tiram, santan, bumbu",73.1,132,9000,7200,7800.0,500,53,134.0,3.7,285,133.0,1.1,0.7,0.0,18000,gurih,"breakfast, dinner, lunch",mineral tinggi
511,Gurame asem manis,"gurame, asam, gula",63.1,192,12700,10100,12700.0,0,283,169.0,1.1,100,100.0,0.1,0.5,0.0,17000,manis,"breakfast, dinner, lunch",mineral tinggi
512,Ikan asar merah,ikan asar merah,69.2,146,17700,5900,5600.0,500,100,240.0,4.0,170,310.0,0.3,1.4,0.0,18000,gurih,"breakfast, dinner, lunch",mineral tinggi
513,Jambal goreng,"jambal, minyak",13.4,286,48500,9200,2300.0,0,207,457.0,3.3,1000,100.0,0.2,1.0,0.0,20000,asin,"breakfast, dinner, lunch",mineral tinggi
514,Jukku pallu kaloa,"jukku (ikan), bumbu",69.4,15,15200,4300,8800.0,500,40,170.0,1.1,605,153.0,0.6,1.1,0.0,15000,gurih,"breakfast, dinner, lunch",mineral tinggi
515,Kaholeo,"kaholeo (kerang), bumbu",11.2,413,28700,19800,29800.0,500,909,1291.0,0.0,100,1171.0,0.1,3.1,0.0,22000,gurih,"breakfast, dinner, lunch",mineral tinggi
516,Lawara penjah,"ikan penjah, sayur",64.5,207,7400,15400,9600.0,500,114,219.0,5.9,683,117.0,0.5,0.7,14.0,16000,gurih,"breakfast, dinner, lunch",vitamin C tinggi
517,Model,"ikan, tepung, bumbu",83.9,79,2200,4000,8600.0,500,8,33.0,0.8,147,34.0,0.1,0.5,0.0,15000,gurih,"breakfast, dinner, lunch",gizi sedang/rendah
518,Mujahir acar kuning,"mujair, bumbu acar",43.1,330,17800,23400,12100.0,1100,154,357.0,5.3,100,100.0,0.1,0.5,0.0,18000,gurih,"breakfast, dinner, lunch",mineral tinggi
519,Parede baleh,"baleh (ikan), bumbu",80.0,87,10500,2500,5500.0,500,35,215.0,0.9,416,59.0,0.1,0.2,0.0,15000,gurih,"breakfast, dinner, lunch",mineral tinggi
520,Pempek adaan,"ikan, tepung, bumbu",62.6,162,4900,3000,27800.0,500,26,116.0,1.0,488,119.0,0.1,0.2,0.0,12000,gurih,"breakfast, dinner, lunch",mineral tinggi
521,Pempek belida,"ikan belida, tepung, bumbu",61.4,156,4200,1400,31600.0,200,100,55.0,3.3,100,100.0,0.1,0.2,0.0,12000,gurih,"breakfast, dinner, lunch",mineral tinggi
522,Pempek kapal selam,"ikan, telur, tepung",63.4,152,4500,2300,28200.0,500,19,115.0,1.6,628,91.0,0.1,0.2,0.0,12000,gurih,"breakfast, dinner, lunch",mineral tinggi
523,Pempek kelesan,"ikan, tepung, bumbu",53.0,211,12300,6100,26600.0,400,840,176.0,1.8,100,100.0,0.1,0.2,0.0,12000,gurih,"breakfast, dinner, lunch",mineral tinggi
524,Pempek kulit,"ikan kulit, tepung",45.7,243,5200,7300,39100.0,500,16,96.0,2.0,555,102.0,0.1,0.6,0.0,12000,gurih,"breakfast, dinner, lunch",mineral tinggi
525,Pempek telur,"telur, ikan, tepung",62.4,156,4700,2700,28300.0,500,13,83.0,1.3,448,48.0,0.1,0.6,0.0,12000,gurih,"breakfast, dinner, lunch",mineral tinggi
526,Pempek tenggiri,"ikan tenggiri, tepung",56.3,173,7200,1200,33400.0,200,164,80.0,3.1,100,100.0,0.1,0.2,0.0,12000,gurih,"breakfast, dinner, lunch",mineral tinggi
527,Pencok lele,"lele, bumbu",47.5,372,7800,36300,3500.0,0,289,295.0,5.3,100,100.0,0.1,0.2,0.0,16000,gurih,"breakfast, dinner, lunch",mineral tinggi
528,Pinda,"pinda (ikan), bumbu",71.0,107,15900,600,400.0,500,375,336.0,1.9,526,330.0,0.2,1.0,0.0,15000,gurih,"breakfast, dinner, lunch",mineral tinggi
529,Pindang kenari,"ikan kenari, bumbu",80.1,124,9500,9600,0.0,500,120,220.0,1.3,370,270.0,0.3,1.2,0.0,16000,gurih,"breakfast, dinner, lunch",mineral tinggi
530,Saboko gurita,"gurita, bumbu",76.2,87,15700,1500,2600.0,500,60,14.0,2.1,200,180.0,0.9,4.0,0.0,18000,gurih,"breakfast, dinner, lunch",mineral tinggi
531,Saboko saltan,"ikan saltan, bumbu",76.0,113,17100,3600,3000.0,500,240,60.0,0.5,40,350.0,0.2,0.6,0.0,16000,gurih,"breakfast, dinner, lunch",mineral tinggi
532,Saboko sardin,"sardin, bumbu",70.0,110,12900,4300,4900.0,500,220,520.0,6.0,200,280.0,0.2,3.9,0.0,16000,gurih,"breakfast, dinner, lunch",mineral tinggi
533,Sate Bandeng,"bandeng, bumbu",47.1,283,12100,16800,20900.0,2000,118,186.0,1.2,543,199.0,0.2,0.9,0.0,18000,gurih,"dinner, lunch",mineral tinggi
534,Sepi,"sepi (cumi), bumbu",66.1,88,7900,1600,10600.0,500,924,350.0,2.3,873,258.0,1.0,1.1,0.0,18000,gurih,"breakfast, dinner, lunch",mineral tinggi
535,Tekwan,"ikan, tepung, bumbu",86.7,53,1900,900,9400.0,500,9,41.0,1.0,174,42.0,0.1,0.2,0.0,12000,gurih,"breakfast, dinner, lunch",gizi sedang/rendah
536,Teri belado,"teri, cabai, bumbu",25.8,365,23700,22300,17500.0,0,869,348.0,4.0,1000,100.0,0.2,1.0,0.0,20000,pedas,"breakfast, dinner, lunch",mineral tinggi
537,Tumis bandeng,"bandeng, bumbu",70.5,189,11300,15700,600.0,500,56,129.0,0.4,314,280.0,0.1,0.7,0.0,16000,gurih,"breakfast, dinner, lunch",mineral tinggi
538,Tumis keumamah,"keumamah, bumbu",45.7,300,14500,20000,15500.0,4500,100,100.0,1.0,100,100.0,0.1,0.5,7.0,18000,gurih,"breakfast, dinner, lunch",vitamin C tinggi
539,Kacang arab kering,kacang arab,11.6,330,23800,1400,60200.0,17400,57,388.0,4.7,24,874.3,0.85,3.4,2.0,12000,gurih,"breakfast, dinner, lunch",vitamin C tinggi
540,Kacang babi kering,kacang babi,11.6,341,30400,3200,51300.0,4500,178,521.0,6.8,13,1768.0,0.82,3.1,2.0,12000,gurih,"breakfast, dinner, lunch",vitamin C tinggi
541,Kacang belimbing kering,kacang belimbing,10.4,400,34400,16900,34100.0,10700,468,182.0,6.8,37,955.0,2.82,2.0,2.0,12000,gurih,"breakfast, dinner, lunch",vitamin C tinggi
542,Kacang beracun,kacang beracun,72.1,118,4400,1500,21600.0,1000,50,50.0,1.7,10,40.0,0.3,1.0,0.0,8000,tawar,"breakfast, dinner, lunch",gizi sedang/rendah
543,Kacang bogor,kacang bogor,10.0,370,16000,6000,65000.0,26300,85,264.0,4.2,44,868.8,1.48,2.7,0.0,12000,gurih,"breakfast, dinner, lunch",mineral tinggi
544,Kacang bogor,kacang bogor,60.8,165,7700,3100,27400.0,2500,96,126.0,5.3,6,537.0,0.41,1.2,0.0,12000,gurih,"breakfast, dinner, lunch",mineral tinggi
545,Kacang endel kering,kacang endel,14.0,331,25000,1000,58000.0,23600,80,400.0,5.0,12,1322.4,0.68,2.7,2.0,12000,gurih,"breakfast, dinner, lunch",vitamin C tinggi
546,Kacang ercis,kacang ercis,67.6,129,12400,700,18300.0,28600,40,130.0,2.3,4,310.0,0.3,2.1,0.0,12000,gurih,"breakfast, dinner, lunch",mineral tinggi
547,kacang galing,kacang galing,12.0,336,23100,1700,59500.0,1000,80,400.0,5.0,10,100.0,0.1,0.5,0.0,12000,gurih,"breakfast, dinner, lunch",mineral tinggi
548,Kacang gude,kacang gude,16.1,316,20700,1000,58000.0,4600,146,445.0,4.7,16,1306.2,0.99,2.7,0.0,12000,gurih,"breakfast, dinner, lunch",mineral tinggi
549,Kacang gude,kacang gude,70.3,114,7000,600,20800.0,4400,3,122.0,1.5,4,480.5,0.12,0.9,43.0,12000,gurih,"breakfast, dinner, lunch",vitamin C tinggi
550,Kacang hijau var bakti,kacang hijau,7.4,350,17100,1800,70700.0,5700,94,315.0,4.9,46,893.9,1.52,3.1,11.0,12000,gurih,"breakfast, dinner, lunch",vitamin C tinggi
551,Kacang hijau var siwalik,kacang hijau,8.8,339,20800,2100,64599.99999999999,7400,122,136.0,4.9,45,880.4,1.5,3.1,10.0,12000,gurih,"breakfast, dinner, lunch",vitamin C tinggi
552,Kacang hijau kering,kacang hijau,15.5,323,22900,1500,56800.0,7500,223,319.0,7.5,42,815.7,1.9,2.9,10.0,12000,gurih,"breakfast, dinner, lunch",vitamin C tinggi
553,Kacang hitam kering,kacang hitam,12.5,346,16600,1700,66100.0,22800,70,300.0,4.7,3,100.0,0.9,3.5,0.0,12000,gurih,"breakfast, dinner, lunch",mineral tinggi
554,Kacang kapri,kacang kapri,74.3,98,6700,400,17700.0,6200,22,122.0,1.9,6,296.6,0.21,1.5,26.0,12000,gurih,"breakfast, dinner, lunch",vitamin C tinggi
555,Kacang kedelai kering,kacang kedelai,12.7,381,40400,16700,24900.0,3200,222,682.0,10.0,210,713.4,1.58,3.9,0.0,12000,gurih,"breakfast, dinner, lunch",mineral tinggi
556,Kacang kedelai,kacang kedelai,20.0,286,30200,15600,30100.0,2900,196,506.0,6.9,28,870.9,1.24,3.6,0.0,12000,gurih,"breakfast, dinner, lunch",mineral tinggi
557,Kacang kincai kering,kacang kincai,4.2,444,19900,16000,55000.0,1000,26,100.0,2.0,10,100.0,0.1,0.5,0.0,12000,gurih,"breakfast, dinner, lunch",makronutrien tinggi
558,Kacang komak,kacang komak,20.9,327,16400,4300,55800.0,500,74,282.0,4.0,22,1137.0,0.9,2.1,0.0,12000,gurih,"breakfast, dinner, lunch",mineral tinggi
559,Kacang kuning kering,kacang kuning,11.7,355,17000,2500,66000.0,15100,140,220.0,5.8,1,100.0,0.7,3.2,0.0,12000,gurih,"breakfast, dinner, lunch",mineral tinggi
560,Kacang lebui /iris,kacang lebui/iris,11.8,346,16500,1500,66600.0,37300,144,368.0,3.4,17,1225.0,1.5,3.3,0.0,12000,gurih,"breakfast, dinner, lunch",mineral tinggi
561,Kacang mentega kering,kacang mentega,13.7,344,16700,2100,64599.99999999999,13000,110,300.0,6.7,1,10.0,0.7,2.5,0.0,12000,gurih,"breakfast, dinner, lunch",mineral tinggi
562,Kacang merah /banda,kacang merah,13.0,350,13900,3000,66900.0,26300,84,242.0,6.8,19,1127.0,0.0,42.0,0.0,12000,gurih,"breakfast, dinner, lunch",mineral tinggi
563,Kacang merah tua,kacang merah tua,12.3,280,16700,1600,63200.0,4600,209,335.0,6.4,19,1348.5,0.69,2.8,6.0,12000,gurih,"breakfast, dinner, lunch",vitamin C tinggi
564,Kacang merah,kacang merah,57.2,171,11000,2200,28000.0,2100,293,134.0,3.7,7,360.7,0.34,1.4,0.0,12000,gurih,"breakfast, dinner, lunch",mineral tinggi
565,Kacang mete/biji,kacang mete,4.6,616,16300,48400,28700.0,900,26,521.0,3.8,26,692.0,4.7,4.1,0.0,25000,gurih,"breakfast, dinner, lunch",mineral tinggi
566,jambu monyet,jambu monyet,80.0,65,1000,600,15800.0,1200,4,13.0,0.5,12,107.8,0.1,0.2,19.0,8000,segar,"breakfast, dinner, lunch",vitamin C tinggi
567,Biji kacang panjang,kacang panjang,12.2,357,17300,1500,68600.0,10600,163,437.0,6.9,16,1109.4,0.35,2.8,2.0,12000,gurih,"breakfast, dinner, lunch",vitamin C tinggi
568,Kacang tanah sangan,kacang tanah,1.2,560,29500,43000,24100.0,2900,107,366.0,4.1,34,509.8,1.69,2.1,0.0,12000,gurih,"breakfast, dinner, lunch",mineral tinggi
